term,category
고독한방 (Lonely Chat Room),General
갓벽 (God + Perfect),Slang
주접 (Ju-jeop / Fan-gushing),Slang
실물 (Visual in person),Slang
음방 (Music Show),Activity
음원 차트 (Music Chart),Activity
정규 앨범 (Full Album),Content
미니 앨범 (Mini Album / EP),Content
싱글 (Single Album),Content
리패키지 (Repackage Album),Content
수록곡 (B-side Track),Content
타이틀곡 (Title Track),Content
세계관 (Universe / Lore),Content
서사 (Narrative),Slang
케미 (Chemistry),Slang
유닛 (Unit),Member
솔로 (Solo),Member
군무 (Group Dance),Performance
동선 (Blocking / Movement),Performance
제스처 (Gesture),Performance
표정 연기 (Facial Acting),Performance
앵콜 (Encore),Event
리앵콜 (Re-encore),Event
무대 (Stage),Performance
계자 (Industry Insider),Culture
머글탈출 (Escaping Muggle Status),General
팬클럽 (Fan Club),General
기수 (Fan Club Generation),General
선예매 (Pre-ticketing),Activity
일반예매 (General Ticketing),Activity
취소표 (Cancelled Ticket),Activity
양도 (Ticket Transfer),Activity
원가양도 (Face-value Transfer),Activity
플미 (Premium / Scalping),Activity
대리 티켓팅 (Proxy Ticketing),Activity
시제석 (Restricted View Seat),Activity
돌출 무대 (Extended Stage),Event
본무대 (Main Stage),Event
구역 (Section),Event
n열 (n-th Row),Event
전광판 (LED Screen),Event
슬로건 이벤트 (Slogan Event),Event
파도타기 (The Wave),Event
연습실 (Practice Room),Culture
데뷔곡 (Debut Track),Content
선공개곡 (Pre-release Track),Content
1위 후보 (Number 1 Nominee),Activity
트로피 (Trophy),Activity
수상소감 (Award Speech),Activity
엔딩 (Ending),Content
썸네일 (Thumbnail),Content
조회수 (View Count),Activity
하트 (Hearts / Likes),Activity
소통 (Communication),Activity
버블 (Bubble),Activity
위버스 (Weverse),Activity
라이브 (Live Broadcast),Activity
공지 (Notice),Activity
팬사랑 (Fan Love),Slang
서포트 (Support),Activity
전광판 광고 (Billboard Ad),Activity
생일카페 (Birthday Cafe),Event
컵홀더 (Cup Sleeve),Merch
특전 (Benefits / Freebies),Merch
예판 (Pre-order),Activity
영통 (Video Call),Event
오프 (Offline Event),General
안방덕후 (Home Fan),General
해외덕 (International Fan),General
덕질 메이트 (Fan Mate),General
계정 (Account),General
팔로워 (Followers),General
실시간 트렌드 (Real-time Trend),Activity
해시태그 (Hashtag),Activity
연합 (Alliance),General
투표 독려 (Voting Encouragement),Activity
시그 (Season's Greetings),Merch
캘린더 (Calendar),Merch
다이어리 (Diary),Merch
포스터 (Poster),Merch
인형 (Plushie / Doll),Merch
뱃지 (Badge),Merch
키링 (Keyring),Merch
슬리브 (Sleeve),Merch
바인더 (Binder),Merch
콜북 (Collect Book),Merch
응원봉 (Light Stick),Merch
슬로건 (Slogan),Merch
나눔 (Freebie),Activity
숨듣명 (Hidden Gem Songs),Content
노동 (Streaming Labor),Activity
덕후 (Otaku / Fan),General
갓생 (God-life / Productive Life),General
실물접견 (Meeting in Person),Activity
팬매니저 (Fan Manager),Culture
서포터즈 (Supporters),General
