group_name,members,colors
MAMAMOO,"Solar,Moonbyul,Wheein,Hwasa","#000000,#FFFFFF"
WayV,"Kun,Ten,Winwin,Xiaojun,Hendery,Yangyang","#7FFF00,#FFFFFF"
Kep1er,"Yujin,Xiaoting,Mashiro,Chaehyun,Dayeon,Hikaru,Huening Bahiyyih,Youngeun,Yeseo","#B19CD9,#FFFFFF"
KISS OF LIFE,"Julie,Natty,Belle,Haneul","#FF0000,#000000"
tripleS,"SeoYeon,HyeRin,JiWoo,ChaeYeon,YooYeon,SooMin,NaKyung,YuBin,Kaede,DaHyun,Kotone,YeonJi,Mayu,ShiOn,ChaeWon,SeolRin,JiYeon,BinHa,Hayumi,JooBin,DaSeul,Lynn,SeoAh,JiSook","#A8E6CF,#FFFFFF"
P1Harmony,"Keeho,Theo,Jiung,Intak,Soul,Jongseob","#FF7A2E,#FFFFFF"
Dreamcatcher,"JiU,SuA,Siyeon,Handong,Yoohyeon,Dami,Gahyeon","#000000,#800080"
Oh My Girl,"Hyojung,Mimi,YooA,Seunghee,Yubin,Arin","#FFC0CB,#FFFFFF"
ASTRO,"MJ,Jinjin,Cha Eun-woo,Moonbin,Sanha","#FFB7C5,#7B68EE"
GOT7,"Mark,Jay B,Jackson,Jinyoung,Youngjae,BamBam,Yugyeom","#00FF00,#FFFFFF"
WINNER,"Jinu,Hoony,Mino,Yoon","#4169E1,#FFFFFF"
BTOB,"Eunkwang,Minhyuk,Changsub,Hyunsik,Peniel,Sungjae","#4169E1,#FFFFFF"
Super Junior,"Leeteuk,Heechul,Yesung,Shindong,Sungmin,Eunhyuk,Siwon,Donghae,Ryeowook,Kyuhyun","#00008B,#FFFFFF"
TVXQ,"U-Know Yunho,Max Changmin","#FF0000,#FFFFFF"
2PM,"Jun. K,Nichkhun,Taecyeon,Wooyoung,Junho,Chansung","#000000,#FFFFFF"
KARA,"Gyuri,Seungyeon,Nicole,Jiyoung,Youngji","#FFD700,#FFFFFF"
Apink,"Chorong,Bomi,Eunji,Namjoo,Hayoung","#FF69B4,#FFFFFF"
Infinite,"Sungkyu,Dongwoo,Woohyun,Sungyeol,L,Sungjong","#FFD700,#000000"
VIXX,"N,Leo,Ken,Hyuk","#000080,#FFD700"
MEOVV,"Ella,Gawon,Anna,Nararin,Sooin","#000000,#FFFFFF"
KATSEYE,"Daniela,Lara,Manon,Megan,Sophia,Yoonchae","#FFFFFF,#FF0000"
QWER,"Chodan,Magenta,Hina,Siyeon","#FF1493,#FFFFFF"
PLAVE,"Noah,Bamby,Yejun,Eunho,Hamin","#6C5CE7,#FFFFFF"
UNIS,"Hyeonju,Nana,Gehlee,Kotoko,Yunha,Elisia,Yoona,Seowon","#FF69B4,#FFFFFF"
EVNNE,"Keita,Park Han-bin,Lee Jeong-hyeon,Yoo Seung-eon,Ji Yun-seo,Mun Jung-hyun,Park Ji-hoo","#2980B9,#FFFFFF"
xikers,"Minjae,Junmin,Sumin,Jinsik,Hyunwoo,Junghoon,Seeun,Yujun,Hunter,Yechan","#FF4500,#000000"
NCT WISH,"Sion,Riku,Yushi,Jaehee,Ryo,Sakuya","#7FFF00,#FFFFFF"
NEXZ,"Yu,Tomoya,Haru,Ken,Seita,Hyui,Yuki","#000000,#FFFFFF"
Madein,"Mashiro,Miu,Suhye,Yeseo,Gaeun,Serina,Nagomi","#B19CD9,#FFFFFF"
ARTMS,"Heejin,Haseul,Kim Lip,Jinsoul,Choerry","#000000,#FFFFFF"
NCT DREAM,"Mark,Renjun,Jeno,Haechan,Jaemin,Chenle,Jisung","#7FFF00,#FFFFFF"
TXT,"Soobin,Yeonjun,Beomgyu,Taehyun,Huening Kai","#0E4C92,#FFD700"
ENHYPEN,"Heeseung,Jay,Jake,Sunghoon,Sunoo,Jungwon,Ni-ki","#DA251D,#00A2FF"
